distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
2189.27,51.48964458,7.40171646,180.78,0.0,0.0,179.78,-70,-6,29,15,7,26385410,6.0,13.8129,95,campus,9,Tuesday
2189.27,51.48964458,7.40171646,180.89,0.0,0.0,179.78,-71,-6,29,12,7,26385410,0.1,3.57144,85,campus,9,Tuesday
2189.27,51.48964458,7.40171646,181.19,0.0,0.0,179.78,-70,-7,28,15,7,26385410,2.0,6.9808,113,campus,9,Tuesday
2189.27,51.48964458,7.40171646,181.48,0.0,0.0,179.78,-70,-7,28,12,7,26385410,3.0,11.6392,54,campus,9,Tuesday
2193.8,51.48951499,7.40169989,183.15,1.14,-0.5,181.11,-69,-7,27,12,7,26385410,3.0,15.8311,46,campus,9,Tuesday
2215.0,51.48938809,7.40205532,180.86,8.93,0.0,94.45,-68,-6,31,12,7,26385410,4.0,10.9141,91,campus,9,Tuesday
2309.28,51.48937454,7.40364276,179.95,15.51,-1.3,90.89,-72,-7,27,12,7,26385410,0.1,3.05345,90,campus,9,Tuesday
2457.54,51.48940637,7.40575562,180.42,14.01,-0.61,84.63,-73,-6,19,15,1,26385408,0.1,4.6243,97,campus,9,Tuesday
2595.7,51.48966168,7.40750962,180.59,12.58,0.0,78.62,-74,-6,11,12,1,26385408,0.1,5.298030000000001,68,campus,9,Tuesday
2763.86,51.4899838,7.41005976,173.79,13.46,-0.32,78.65,-77,-6,19,11,1,26385408,8.0,19.3353,37,campus,9,Tuesday
157.72,51.49061776,7.41466391,159.2,13.52,0.0,79.26,-90,-6,11,2,7,26385408,5.0,14.6252,114,campus,9,Tuesday
280.79,51.49066311,7.41647195,156.01,11.69,-0.64,96.81,-78,-6,21,10,4,29391105,6.0,18.419,38,campus,9,Tuesday
321.45,51.49058965,7.41696354,153.99,0.0,0.0,99.73,-77,-5,30,13,4,29391105,9.0,33.1492,38,campus,9,Tuesday
321.45,51.49058965,7.41696354,153.87,0.0,0.0,99.73,-74,-4,31,15,4,29391105,1.0,9.40071,63,campus,9,Tuesday
321.45,51.49058965,7.41696354,153.83,0.0,0.0,99.73,-75,-5,30,14,4,29391105,2.0,12.4127,54,campus,9,Tuesday
321.45,51.49058965,7.41696354,153.8,0.0,0.0,99.73,-74,-5,30,13,4,29391105,1.0,6.51466,110,campus,9,Tuesday
321.45,51.49058965,7.41696354,153.76,0.0,0.0,99.73,-74,-5,25,13,4,29391105,10.0,29.346999999999998,119,campus,9,Tuesday
365.8,51.49094028,7.41714883,155.8,11.58,0.0,352.91,-78,-5,28,13,4,29391105,9.0,14.8026,116,campus,9,Tuesday
475.79,51.49187723,7.41675581,158.17,11.85,0.0,340.06,-97,-6,13,7,4,29391105,10.0,19.5551,101,campus,9,Tuesday
594.38,51.49289295,7.416072099999999,162.99,12.04,0.0,350.3,-91,-6,14,11,4,29391105,5.0,10.5291,90,campus,9,Tuesday
791.07,51.49455705,7.41514785,160.65,8.77,0.85,275.5,-91,-9,15,9,4,29391105,1.0,5.92154,95,campus,9,Tuesday
904.39,51.49430705,7.41359867,159.66,4.77,0.0,258.39,-89,-7,30,12,4,29391104,7.0,19.9857,41,campus,10,Tuesday
911.88,51.49429517,7.41353901,159.69,0.0,0.0,256.52,-85,-7,22,12,4,29391104,0.5,7.31261,84,campus,10,Tuesday
947.6,51.49421515,7.41292969,158.87,7.59,0.0,257.28,-81,-6,36,11,4,29391104,0.1,4.21054,46,campus,10,Tuesday
1070.77,51.4939836,7.41111893,162.79,10.99,0.0,257.6,-78,-5,33,15,4,29391104,3.0,13.0719,38,campus,10,Tuesday
1142.85,51.49383383,7.4100133,166.85,11.76,1.34,258.09,-82,-7,33,12,4,29391104,0.5,11.7994,72,campus,10,Tuesday
1305.5,51.49352839,7.40789784,167.31,13.28,0.0,256.51,-83,-9,16,15,4,29391104,6.0,11.7388,82,campus,10,Tuesday
1406.63,51.4933413,7.40634734,168.66,13.31,0.23,258.17,-82,-6,14,10,3,29391106,3.0,15.9151,58,campus,10,Tuesday
1594.49,51.49300559,7.40369087,166.66,12.92,-0.31,261.47,-90,-7,9,12,3,29391106,9.0,13.5008,148,campus,10,Tuesday
1691.71,51.49299442,7.40232767,165.8,4.97,-1.32,265.48,-95,-9,5,7,3,29391106,7.0,13.3907,91,campus,10,Tuesday
